2021-01-24 20:01:40 - INFO - Epoch: 25,	 Iter: 300,	 Loss: 0.37552,	 Val-Acc1: 98.45 (Best: 98.61),	 Val-Acc5: 99.90
2021-01-24 20:01:50 - INFO - Epoch: 25,	 Iter: 400,	 Loss: 0.37743,	 Val-Acc1: 98.54 (Best: 98.61),	 Val-Acc5: 99.92
2021-01-24 20:02:04 - INFO - Epoch: 26,	 Iter: 0,	 Loss: 0.34718,	 Val-Acc1: 98.59 (Best: 98.61),	 Val-Acc5: 99.91
2021-01-24 20:02:15 - INFO - Epoch: 26,	 Iter: 100,	 Loss: 0.36202,	 Val-Acc1: 98.48 (Best: 98.61),	 Val-Acc5: 99.89
2021-01-24 20:02:25 - INFO - Epoch: 26,	 Iter: 200,	 Loss: 0.34224,	 Val-Acc1: 98.55 (Best: 98.61),	 Val-Acc5: 99.90
2021-01-24 20:02:36 - INFO - Epoch: 26,	 Iter: 300,	 Loss: 0.37676,	 Val-Acc1: 98.48 (Best: 98.61),	 Val-Acc5: 99.89
2021-01-24 20:02:46 - INFO - Epoch: 26,	 Iter: 400,	 Loss: 0.35172,	 Val-Acc1: 98.47 (Best: 98.61),	 Val-Acc5: 99.88
2021-01-24 20:03:00 - INFO - Epoch: 27,	 Iter: 0,	 Loss: 0.32898,	 Val-Acc1: 98.55 (Best: 98.61),	 Val-Acc5: 99.92
2021-01-24 20:03:11 - INFO - Epoch: 27,	 Iter: 100,	 Loss: 0.36893,	 Val-Acc1: 98.59 (Best: 98.61),	 Val-Acc5: 99.89
2021-01-24 20:03:21 - INFO - Epoch: 27,	 Iter: 200,	 Loss: 0.37003,	 Val-Acc1: 98.57 (Best: 98.61),	 Val-Acc5: 99.91
2021-01-24 20:03:31 - INFO - Epoch: 27,	 Iter: 300,	 Loss: 0.36427,	 Val-Acc1: 98.59 (Best: 98.61),	 Val-Acc5: 99.91
2021-01-24 20:03:42 - INFO - Epoch: 27,	 Iter: 400,	 Loss: 0.43413,	 Val-Acc1: 98.56 (Best: 98.61),	 Val-Acc5: 99.92
2021-01-24 20:03:56 - INFO - Epoch: 28,	 Iter: 0,	 Loss: 0.36642,	 Val-Acc1: 98.49 (Best: 98.61),	 Val-Acc5: 99.89
2021-01-24 20:03:56 - INFO - lr: 8.000000000000001e-06
2021-01-24 20:04:07 - INFO - Epoch: 28,	 Iter: 100,	 Loss: 0.37266,	 Val-Acc1: 98.53 (Best: 98.61),	 Val-Acc5: 99.90
2021-01-24 20:04:17 - INFO - Epoch: 28,	 Iter: 200,	 Loss: 0.36005,	 Val-Acc1: 98.62 (Best: 98.62),	 Val-Acc5: 99.91
2021-01-24 20:04:28 - INFO - Epoch: 28,	 Iter: 300,	 Loss: 0.34151,	 Val-Acc1: 98.48 (Best: 98.62),	 Val-Acc5: 99.90
2021-01-24 20:04:38 - INFO - Epoch: 28,	 Iter: 400,	 Loss: 0.42719,	 Val-Acc1: 98.54 (Best: 98.62),	 Val-Acc5: 99.90
2021-01-24 20:04:52 - INFO - Epoch: 29,	 Iter: 0,	 Loss: 0.34616,	 Val-Acc1: 98.56 (Best: 98.62),	 Val-Acc5: 99.91
2021-01-24 20:05:03 - INFO - Epoch: 29,	 Iter: 100,	 Loss: 0.31965,	 Val-Acc1: 98.57 (Best: 98.62),	 Val-Acc5: 99.89
2021-01-24 20:05:13 - INFO - Epoch: 29,	 Iter: 200,	 Loss: 0.38341,	 Val-Acc1: 98.58 (Best: 98.62),	 Val-Acc5: 99.90
2021-01-24 20:05:23 - INFO - Epoch: 29,	 Iter: 300,	 Loss: 0.34047,	 Val-Acc1: 98.51 (Best: 98.62),	 Val-Acc5: 99.90
